raw_in_sheet,resolved_writer,articles,first_month,last_month,source_of_truth
Jarrett,Jarrett,56,2024-04,2026-05,DaniQ confirmation
Jason,Jason,40,2022-03,2023-05,DaniQ confirmation
Jemma,Jemma,1,2024-02,2024-02,DaniQ confirmation
Jerry,Jerry,1,2024-11,2024-11,DaniQ confirmation
JImmy,Jimmy Bunes,1,2025-03,2025-03,DaniQ confirmation
Jimmy,Jimmy Bunes,201,2024-05,2026-08,DaniQ confirmation
Jimmy*,Jimmy Bunes,1,2024-05,2024-05,DaniQ confirmation
John,John,18,2023-05,2023-09,DaniQ confirmation
John T,John T,24,2023-07,2023-09,DaniQ confirmation
Jordan F (aud writer),Jordan F (aud writer),2,2025-03,2025-03,DaniQ confirmation
Jordan F (aud writer)*,Jordan F (aud writer)*,1,2025-03,2025-03,DaniQ confirmation
Jordan,Jordan Finneseth,73,2025-03,2026-08,DaniQ confirmation
Jose,Jose,1,2025-05,2025-05,DaniQ confirmation
Josh*,Josh*,1,2024-10,2024-10,DaniQ confirmation
Joshua,Joshua,49,2023-08,2023-11,DaniQ confirmation
Justin,Justin,1,2024-04,2024-04,DaniQ confirmation
Justine,Justine Jade Smith,26,2025-04,2025-06,DaniQ confirmation
Karisa,Karisa,1,2025-03,2025-03,DaniQ confirmation
Kasey*,Kasey*,1,2024-12,2024-12,DaniQ confirmation
Keenan,Keenan,63,2023-10,2026-12,DaniQ confirmation
Kendra,Kendra,1,2023-05,2023-05,DaniQ confirmation
Kennedy,Kennedy Stevens,1,2024-05,2024-05,DaniQ confirmation
Ke,Kevin Vaughn,1,2025-03,2025-03,DaniQ confirmation
Kev,Kevin Vaughn,95,2024-05,2026-02,DaniQ confirmation
Kevin,Kevin Vaughn,645,2022-11,2026-12,DaniQ confirmation
Kevin`,Kevin Vaughn,1,2024-04,2024-04,DaniQ confirmation
kevin,Kevin Vaughn,3,2025-12,2026-02,DaniQ confirmation
KIMBERLY,Kimberly Kruge,3,2024-01,2024-02,DaniQ confirmation
Kim,Kimberly Kruge,2,2022-07,2025-11,DaniQ confirmation
Kimberley,Kimberly Kruge,2,2025-09,2025-09,DaniQ confirmation
Kimberly,Kimberly Kruge,949,2021-03,2026-04,DaniQ confirmation
Kimberly*,Kimberly Kruge,1,2025-07,2025-07,DaniQ confirmation
Kory,Kory,6,2022-10,2022-11,DaniQ confirmation
Kyle,Kyle,3,2023-03,2023-04,DaniQ confirmation
Laura,Laura Soler,19,2026-04,2026-06,DaniQ confirmation
Lauren,Lauren,1,2024-12,2024-12,DaniQ confirmation
Lee,Lee Anderson,2,2025-11,2025-11,DaniQ confirmation
Liam,Liam,1,2025-05,2025-05,DaniQ confirmation
Liana*,Liana*,1,2025-08,2025-08,DaniQ confirmation
Linda,Linda L. Armstrong,47,2026-01,2026-06,DaniQ confirmation
Lisa,Lisa,68,2024-05,2024-11,DaniQ confirmation
Lisa*,Lisa*,2,2024-05,2024-05,DaniQ confirmation
Madison,Madison,11,2024-09,2024-11,DaniQ confirmation
Madison*,Madison*,2,2024-08,2024-09,DaniQ confirmation
Marcin,Marcin,1,2024-10,2024-10,DaniQ confirmation
Mariah,Mariah,1,2025-03,2025-03,DaniQ confirmation
Marina,Marina,17,2023-08,2026-10,DaniQ confirmation
Marina D,Marina D,1,2023-10,2023-10,DaniQ confirmation
Marinda,Marinda Stuiver,42,2024-11,2025-03,DaniQ confirmation
Marinda*,Marinda*,1,2024-11,2024-11,DaniQ confirmation
Mark,Mark,183,2022-03,2026-12,DaniQ confirmation
Marriah*,Marriah*,3,2025-02,2025-03,DaniQ confirmation
Martin,Martin,79,2023-06,2026-07,DaniQ confirmation
Matt,Matt,2,2022-06,2022-06,DaniQ confirmation
Matthew,Matthew,1,2024-11,2024-11,DaniQ confirmation
Meaghan,Meaghan,59,2022-07,2026-09,DaniQ confirmation
Meesha,Meesha,1,2024-10,2024-10,DaniQ confirmation
Megan,Megan,5,2022-04,2022-11,DaniQ confirmation
Melissa,Melissa,8,2023-02,2023-04,DaniQ confirmation
Meredith,Meredith Kane,204,2020-10,2026-06,DaniQ confirmation
Meredith*,Meredith Kane,2,2025-03,2025-06,DaniQ confirmation
meredith,Meredith Kane,1,2026-06,2026-06,DaniQ confirmation
Micah,Micah,29,2024-05,2024-08,DaniQ confirmation
Michael D (aud writer)*,Michael D (aud writer)*,1,2025-03,2025-03,DaniQ confirmation
Michael,Michael Davis,64,2023-07,2026-07,DaniQ confirmation
Michael D,Michael Davis,8,2025-03,2025-08,DaniQ confirmation
Michael D.,Michael Davis,1,2025-07,2025-07,DaniQ confirmation
Mike,Michael Ray,23,2023-05,2025-06,DaniQ confirmation
Michael*,Michael*,3,2025-03,2025-06,DaniQ confirmation
Mikayla,Mikayla,2,2024-11,2024-12,DaniQ confirmation
Miles,Miles,98,2022-04,2022-12,DaniQ confirmation
Mindy,Mindy Born,57,2024-11,2025-06,DaniQ confirmation
Mindy*,Mindy*,1,2024-12,2024-12,DaniQ confirmation
Morgan,Morgan,2,2025-06,2025-06,DaniQ confirmation
Nadia,Nadia Hlebowitsh,74,2025-03,2026-06,DaniQ confirmation
Naomi *,Naomi *,2,2025-05,2025-06,DaniQ confirmation
Neil,Neil,10,2022-08,2026-07,DaniQ confirmation
New writer,New writer,1,2023-01,2023-01,DaniQ confirmation
Nicholas,Nicholas,13,2023-05,2023-05,DaniQ confirmation
Nick,Nick,27,2024-01,2024-03,DaniQ confirmation
Owen,Owen Murray,95,2026-01,2026-06,DaniQ confirmation
Paige,Paige Greene,132,2024-08,2025-08,DaniQ confirmation
Paige*,Paige*,3,2024-07,2024-08,DaniQ confirmation
Pat,Patrick Sather,120,2023-11,2026-01,DaniQ confirmation
Patrick,Patrick Sather,12,2023-09,2025-11,DaniQ confirmation
Pau,Paulina Karadajiyan,5,2026-01,2026-01,DaniQ confirmation
Paul,Paulina Karadajiyan,4,2023-10,2023-12,DaniQ confirmation
Paulina,Paulina Karadajiyan,14,2025-11,2026-02,DaniQ confirmation
Prianca,Prianca,35,2023-08,2023-11,DaniQ confirmation
Renee*,Renee*,1,2025-06,2025-06,DaniQ confirmation
Rich,Rich Dezso,241,2024-12,2026-06,DaniQ confirmation
Richard,Rich Dezso,61,2024-10,2026-06,DaniQ confirmation
Richard*,Rich Dezso,2,2024-10,2024-10,DaniQ confirmation
Rob,Rob Harper,373,2021-10,2026-10,DaniQ confirmation
Rob Harper - audtition,Rob Harper,2,2023-12,2023-12,DaniQ confirmation
Robert,Robert Thorpe,134,2022-10,2026-12,DaniQ confirmation
Rocco,Rocco Pendola,212,2020-10,2026-09,DaniQ confirmation
Rocco*,Rocco Pendola,2,2025-02,2025-02,DaniQ confirmation
Roxana,Roxana,13,2024-10,2024-11,DaniQ confirmation
Roxana*,Roxana*,2,2024-10,2024-10,DaniQ confirmation
Samaara,Samaara,181,2022-01,2026-09,DaniQ confirmation
Sam,Samantha McGrail,143,2024-04,2026-06,DaniQ confirmation
Sam*,Samantha McGrail,1,2024-12,2024-12,DaniQ confirmation
Sara,Sarah Foley,95,2019-09,2026-09,DaniQ confirmation
Sarah,Sarah Foley,176,2023-07,2026-10,DaniQ confirmation
Sarah H,Sarah Foley,93,2023-08,2024-04,DaniQ confirmation
Sarah*,Sarah Foley,2,2024-09,2024-09,DaniQ confirmation
Savanna*,Savanna*,1,2025-03,2025-03,DaniQ confirmation
Shannon,Shannon Canuelle,23,2024-07,2024-10,DaniQ confirmation
Shannon*,Shannon Canuelle,2,2024-06,2024-07,DaniQ confirmation
Shelby,Shelby,11,2022-09,2023-08,DaniQ confirmation
Shianne,Shianne,33,2021-12,2022-03,DaniQ confirmation
Spencer (trial),Spencer (trial),1,2025-11,2025-11,DaniQ confirmation
Tam,Tamara Siklosi,12,2025-09,2026-03,DaniQ confirmation
Tamara,Tamara Siklosi,107,2025-09,2026-06,DaniQ confirmation
Tara*,Tara*,1,2024-09,2024-09,DaniQ confirmation
Telisa,Telisa Faye,109,2025-04,2025-12,DaniQ confirmation
Telisa*,Telisa Faye,2,2025-03,2025-04,DaniQ confirmation
Tessina,Tessina Grant,74,2025-08,2026-06,DaniQ confirmation
Thea,Thea Atkinson,14,2025-04,2025-07,DaniQ confirmation
Thomas Hinds,Thomas Hinds,1,2025-01,2025-01,DaniQ confirmation
Tim,Tim Suleyman,49,2023-08,2026-06,DaniQ confirmation
Tom,Tom,66,2022-12,2023-03,DaniQ confirmation
Trial,Trial,1,2026-04,2026-04,DaniQ confirmation
Trial Writer,Trial Writer,30,2025-11,2026-06,DaniQ confirmation
Trial writer,Trial writer,49,2025-09,2026-05,DaniQ confirmation
Trichelle,Trichelle,1,2024-12,2024-12,DaniQ confirmation
Tyler,Tyler,48,2023-02,2026-01,DaniQ confirmation
Yonela,Yonela,17,2024-07,2024-08,DaniQ confirmation
Yonela*,Yonela*,4,2024-05,2024-06,DaniQ confirmation
Yulia,Yulia,2,2024-04,2024-05,DaniQ confirmation
^,^,1,,,DaniQ confirmation
^^,^^,2,,,DaniQ confirmation
audition,audition,2,2025-07,2025-09,DaniQ confirmation
crowd content,crowd content,23,2023-03,2026-04,DaniQ confirmation
freelance test,freelance test,1,2023-08,2023-08,DaniQ confirmation
freelancer,freelancer,3,2025-09,2025-09,DaniQ confirmation
michael davis,michael davis,1,2025-03,2025-03,DaniQ confirmation
trial,trial,1,2025-04,2025-04,DaniQ confirmation
trial writer,trial writer,5,2025-09,2026-05,DaniQ confirmation
trial writer (no name in doc),trial writer (no name in doc),3,2025-08,2025-09,DaniQ confirmation
trial writer Genie Davis,trial writer Genie Davis,1,2025-05,2025-05,DaniQ confirmation
trial writer Michael Davis,trial writer Michael Davis,1,2025-05,2025-05,DaniQ confirmation
trial writer jose triana,trial writer jose triana,1,2025-06,2025-06,DaniQ confirmation
writer audition,writer audition,5,2025-05,2025-09,DaniQ confirmation
writer trial,writer trial,2,2023-05,2025-09,DaniQ confirmation
